"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"votes_the_left";"votes_afd";"votes_other_parties"
1915;"Solareinheit";"09";1;9,18;9,18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1915;"Wasser";"09";1;55;55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1915;"Solareinheit";"11";1;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1915;"Solareinheit";"15";1;6,12;6,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1916;"Solareinheit";"03";1;4,94;4,94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1916;"Gas";"08";1;5,5;5,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1916;"Solareinheit";"08";3;8,25666666666667;24,77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1916;"Solareinheit";"09";1;9,88;9,88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1916;"Solareinheit";"14";1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1916;"Solareinheit";"15";1;2,6;2,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;"Solareinheit";"01";1;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;"Solareinheit";"05";2;4,665;9,33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;"Stromverbrauchseinheit";"05";1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;"Solareinheit";"08";2;5,018;10,036;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;"Stromspeichereinheit";"08";1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;"Stromspeichereinheit";"09";1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;"Stromverbrauchseinheit";"09";1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
