"MastrID";"MastrNummer";"Betriebsstatus";"EinheitenTyp";"Lage";"Plz";"Ort";"Bundesland";"Landkreis";"Gemeinde";"ags_municipality";"Breitengrad";"Laengengrad";"Leistungsbegrenzung";"Bruttoleistung";"Nettonennleistung";"Nutzungsbereich";"Energietraeger";"EinspeisungsArt";"start_year";"start_pause";"end_pause";"end_year";"ags_county";"ags_federal_state";"name"
2112681;"SEE959710005556";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,08581;6,56441;NA;6000;6000;NA;"Wind";"Volleinspeisung";2019;NA;NA;NA;NA;NA;NA
2112706;"SEE978251021092";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,08908;6,53954;NA;6000;6000;NA;"Wind";"Volleinspeisung";2019;NA;NA;NA;NA;NA;NA
2112712;"SEE927999985548";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,07099;6,56518;NA;6000;6000;NA;"Wind";"Volleinspeisung";2019;NA;NA;NA;NA;NA;NA
2112724;"SEE969620531694";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,06829;6,57772;NA;6000;6000;NA;"Wind";"Volleinspeisung";2019;NA;NA;NA;NA;NA;NA
2118949;"SEE980122691983";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,517171;7,679072;NA;3780;3780;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
2118958;"SEE955135617985";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,801471;14,150038;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2118978;"SEE924019477908";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,795226;14,165479;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2118981;"SEE963523763848";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,517171;7,691478;NA;3780;3780;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
2118993;"SEE953325996100";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,517171;7,703883;NA;3780;3780;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
2118994;"SEE986022342543";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,792487;14,177324;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
