"start_year";"EinheitenTyp";"Landkreis";"name";"ags_county";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"vodes_the_left";"votes_afd";"votes_other_parties"
2013;"Stromspeichereinheit";"Merzig-Wadern";"Merzig-Wadern";"10042";1;2;2;46111;1429986;214771;81462;73,4;57967;24489;17232;2833;2172;4778;2934;3529
2013;"Verbrennung";"Merzig-Wadern";"Merzig-Wadern";"10042";1;1,2;1,2;46111;1429986;214771;81462;73,4;57967;24489;17232;2833;2172;4778;2934;3529
2013;"Wasser";"Merzig-Wadern";"Merzig-Wadern";"10042";1;4,5;4,5;46111;1429986;214771;81462;73,4;57967;24489;17232;2833;2172;4778;2934;3529
2013;"Windeinheit";"Merzig-Wadern";"Merzig-Wadern";"10042";5;2845;14225;46111;1429986;214771;81462;73,4;57967;24489;17232;2833;2172;4778;2934;3529
2013;"Solareinheit";"Neunkirchen";"Neunkirchen";"10043";67;32,1628358208955;2154,91;62978;1985226;295691;110145;71,2;76301;26911;25828;3355;2408;8299;4414;5086
2013;"Stromspeichereinheit";"Neunkirchen";"Neunkirchen";"10043";1;8;8;62978;1985226;295691;110145;71,2;76301;26911;25828;3355;2408;8299;4414;5086
2013;"Solareinheit";"Saarlouis";"Saarlouis";"10044";145;14,1862344827586;2057,004;94598;3133805;489279;158618;73;112605;44268;34555;5950;4109;10472;5958;7293
2013;"Stromspeichereinheit";"Saarlouis";"Saarlouis";"10044";1;4,4;4,4;94598;3133805;489279;158618;73;112605;44268;34555;5950;4109;10472;5958;7293
2013;"Solareinheit";"Saarpfalz-Kreis";"Saarpfalz-Kreis";"10045";59;15,7291694915254;928,021;71203;2538993;422052;118129;74,7;86143;33271;25789;4933;3535;7971;4824;5820
2013;"Stromspeichereinheit";"Saarpfalz-Kreis";"Saarpfalz-Kreis";"10045";1;4;4;71203;2538993;422052;118129;74,7;86143;33271;25789;4933;3535;7971;4824;5820
2013;"Stromverbrauchseinheit";"Saarpfalz-Kreis";"Saarpfalz-Kreis";"10045";1;NA;NA;71203;2538993;422052;118129;74,7;86143;33271;25789;4933;3535;7971;4824;5820
2013;"Verbrennung";"Saarpfalz-Kreis";"Saarpfalz-Kreis";"10045";1;1;1;71203;2538993;422052;118129;74,7;86143;33271;25789;4933;3535;7971;4824;5820
2013;"Solareinheit";"St. Wendel";"St. Wendel";"10046";67;201,149044776119;13476,986;42506;1612438;254385;74588;77,9;56426;24560;17044;2537;1698;4681;2713;3193
2013;"Stromspeichereinheit";"St. Wendel";"St. Wendel";"10046";1;10,25;10,25;42506;1612438;254385;74588;77,9;56426;24560;17044;2537;1698;4681;2713;3193
2013;"Verbrennung";"St. Wendel";"St. Wendel";"10046";2;140;280;42506;1612438;254385;74588;77,9;56426;24560;17044;2537;1698;4681;2713;3193
2013;"Windeinheit";"St. Wendel";"St. Wendel";"10046";4;2806,25;11225;42506;1612438;254385;74588;77,9;56426;24560;17044;2537;1698;4681;2713;3193
2013;"Solareinheit";"Berlin";"Berlin, Stadt";"11000";52;9,94288461538462;517,03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;"Stromspeichereinheit";"Berlin";"Berlin, Stadt";"11000";3;3,3;9,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;"Verbrennung";"Berlin";"Berlin, Stadt";"11000";29;165,699310344828;4805,28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;"Solareinheit";"Brandenburg an der Havel";"Brandenburg an der Havel, Stadt";"12051";19;11,8009473684211;224,218;30955;814401;112903;60766;60,7;36294;12232;9890;1492;741;8451;1609;1879
2013;"Solareinheit";"Cottbus";"Cottbus, Stadt";"12052";5;7,436;37,18;56326;1445252;201178;83462;65,7;54093;17723;12528;2300;1299;13104;3701;3438
2013;"Stromspeichereinheit";"Cottbus";"Cottbus, Stadt";"12052";1;7,35;7,35;56326;1445252;201178;83462;65,7;54093;17723;12528;2300;1299;13104;3701;3438
