"start_year";"ags_county";"n";"mean";"sum"
1997;"08117";1;600;600
1997;"08118";1;2;2
1997;"08119";1;0,65;0,65
1997;"08126";1;530;530
1997;"08127";3;8,69333333333333;26,08
1997;"08128";2;341;682
1997;"08135";1;2;2
1997;"08215";1;6,37;6,37
1997;"08222";1;1,8;1,8
1997;"08231";1;5;5
1997;"08236";1;0,45;0,45
1997;"08316";1;1,8;1,8
1997;"08317";1;240;240
1997;"08325";2;106,6;213,2
1997;"08336";4;3,625;14,5
1997;"08415";2;4,05;8,1
1997;"08416";2;315,75;631,5
1997;"08417";1;2,6;2,6
1997;"08421";8;1,565;12,52
1997;"08426";1;9;9
1997;"08435";3;7,2;21,6
1997;"08436";1;3;3
1997;"09161";4;3,598;14,392
1997;"09162";5;2,92;14,6
1997;"09171";2;7,425;14,85
1997;"09173";1;4;4
1997;"09174";9;8,15222222222222;73,37
1997;"09177";2;307;614
1997;"09178";4;1,6675;6,67
1997;"09181";4;1,8025;7,21
1997;"09184";1;1;1
1997;"09186";1;15;15
1997;"09187";2;8,925;17,85
1997;"09190";3;7,96333333333333;23,89
1997;"09262";4;1,495;5,98
1997;"09271";1;1;1
1997;"09275";1;1350;1350
1997;"09371";1;2;2
1997;"09376";1;25;25
1997;"09473";1;2,09;2,09
