"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum"
2004;"Biomasse";"12";1;230;230
2004;"Biomasse";"13";4;560;2240
2004;"Biomasse";"14";4;153,75;615
2004;"Biomasse";"15";7;233,142857142857;1632
2004;"Biomasse";"16";2;225;450
2004;"Gasverbrauchseinheit";"05";6;NA;NA
2004;"Gasverbrauchseinheit";"09";1;NA;NA
2004;"Geothermie";"05";4;3435;13740
2004;"Geothermie";"10";7;2890,28571428571;20232
2004;"Solareinheit";"01";228;15,4745043859649;3528,187
2004;"Solareinheit";"02";5;15,468;77,34
2004;"Solareinheit";"03";674;12,4763605341246;8409,067
2004;"Solareinheit";"04";16;6,94575;111,132
2004;"Solareinheit";"05";1484;13,9487938005391;20700,01
2004;"Solareinheit";"06";661;45,6703721633888;30188,116
2004;"Solareinheit";"07";380;98,7270578947368;37516,282
2004;"Solareinheit";"08";2749;24,7392542742816;68008,21
2004;"Solareinheit";"09";3277;18,9602761672261;62132,825
2004;"Solareinheit";"10";72;107,923472222222;7770,49
2004;"Solareinheit";"11";14;10,1535714285714;142,15
2004;"Solareinheit";"12";44;28,8172272727273;1267,958
2004;"Solareinheit";"13";45;16,1763333333333;727,935
2004;"Solareinheit";"14";86;17,2134651162791;1480,358
2004;"Solareinheit";"15";59;21,3943389830508;1262,266
2004;"Solareinheit";"16";67;5,6444776119403;378,18
2004;"Stromspeichereinheit";"05";1;2,5;2,5
2004;"Stromspeichereinheit";"08";1;1,5;1,5
2004;"Stromverbrauchseinheit";"05";1;NA;NA
2004;"Verbrennung";"01";4;5,45;21,8
2004;"Verbrennung";"02";3;375,166666666667;1125,5
2004;"Verbrennung";"03";43;161,807674418605;6957,73
2004;"Verbrennung";"04";1;230;230
2004;"Verbrennung";"05";52;3201,97634615385;166502,77
2004;"Verbrennung";"06";15;180,42;2706,3
2004;"Verbrennung";"07";8;79,0875;632,7
2004;"Verbrennung";"08";70;99,7181428571429;6980,27
2004;"Verbrennung";"09";44;9514,60954545454;418642,82
2004;"Verbrennung";"10";1;5;5
2004;"Verbrennung";"11";3;29,5666666666667;88,7
